timestamp,operator,action,target,result,duration_ms
2026-06-16T00:00:08Z,ops_charlie,read,staging-api,success,42053
2026-06-16T00:04:58Z,ops_charlie,deploy,staging-api,success,47891
2026-06-16T00:07:01Z,svc_deploy,ssh,prod-cache-01,success,24095
2026-06-16T00:07:13Z,ops_charlie,create,prod-db-slave,success,1826
2026-06-16T00:09:54Z,svc_deploy,ssh,prod-mq-01,success,46045
2026-06-16T00:10:41Z,ops_bob,deploy,prod-web-02,success,57122
2026-06-16T00:12:06Z,ops_charlie,config_change,prod-web-02,success,29165
2026-06-16T00:14:35Z,ops_charlie,restart,prod-mq-01,success,11472
2026-06-16T00:16:05Z,ops_alice,read,prod-cache-01,success,34759
2026-06-16T00:16:08Z,ops_bob,sudo,prod-mq-01,failure,33720
2026-06-16T00:20:18Z,ops_bob,deploy,prod-cache-01,success,29089
2026-06-16T00:20:40Z,ops_charlie,write,prod-web-02,success,42436
2026-06-16T00:21:18Z,ops_bob,read,prod-db-master,success,22337
2026-06-16T00:22:49Z,ops_bob,sudo,prod-db-master,success,49984
2026-06-16T00:23:55Z,ops_alice,sudo,prod-web-01,success,33589
2026-06-16T00:24:16Z,svc_deploy,deploy,prod-cache-01,success,53745
2026-06-16T00:25:07Z,svc_deploy,read,prod-db-master,success,55979
2026-06-16T00:25:08Z,ops_charlie,read,staging-api,success,31411
2026-06-16T00:27:44Z,svc_deploy,write,prod-cache-01,success,23940
2026-06-16T00:28:07Z,ops_charlie,write,prod-mq-01,success,1311
2026-06-16T00:28:46Z,ops_alice,read,prod-mq-01,success,57637
2026-06-16T00:28:58Z,ops_bob,deploy,prod-mq-01,success,50094
2026-06-16T00:29:15Z,ops_charlie,read,prod-cache-01,success,49752
2026-06-16T00:29:36Z,ops_charlie,restart,prod-mq-01,success,51206
2026-06-16T00:30:58Z,ops_bob,read,prod-web-02,success,54159
2026-06-16T00:31:38Z,ops_bob,ssh,prod-web-01,success,35731
2026-06-16T00:31:56Z,ops_bob,write,staging-api,failure,52112
2026-06-16T00:32:27Z,ops_bob,ssh,prod-cache-01,success,41673
2026-06-16T00:34:40Z,ops_charlie,create,prod-mq-01,success,17426
2026-06-16T00:38:41Z,ops_alice,restart,prod-web-02,success,14731
2026-06-16T00:39:02Z,svc_deploy,read,prod-web-01,success,54315
2026-06-16T00:39:35Z,svc_deploy,restart,staging-api,success,36550
2026-06-16T00:39:36Z,ops_alice,create,prod-db-master,success,15854
2026-06-16T00:40:43Z,svc_deploy,ssh,prod-db-master,success,13486
2026-06-16T00:48:03Z,ops_alice,sudo,prod-cache-01,success,18389
2026-06-16T00:49:04Z,ops_charlie,read,prod-db-master,success,30553
2026-06-16T00:53:24Z,ops_bob,deploy,prod-db-master,failure,5556
2026-06-16T00:56:01Z,ops_bob,write,prod-mq-01,success,57620
2026-06-16T00:59:48Z,svc_deploy,deploy,prod-db-slave,failure,59333
2026-06-16T01:01:20Z,svc_deploy,restart,prod-db-slave,failure,8716
2026-06-16T01:01:46Z,ops_charlie,backup,prod-mq-01,success,46266
